price,sqft_above,sqft_basement,view,yr_renovated,sqft_lot,waterfront
313000.0,1340,0,0,2005,7912,0
2384000.0,3370,280,4,0,9050,0
342000.0,1930,0,0,0,11947,0
420000.0,1000,1000,0,0,8030,0
550000.0,1140,800,0,1992,10500,0
490000.0,880,0,0,1994,6380,0
335000.0,1350,0,0,0,2560,0
482000.0,2710,0,0,0,35868,0
452500.0,1570,860,0,0,88426,0
640000.0,1520,0,0,2010,6200,0
463000.0,1710,0,0,1994,7320,0
1400000.0,1910,1010,0,1988,4000,0
588500.0,1970,360,0,0,14892,0
365000.0,1090,0,0,2009,6435,0
1200000.0,2910,0,0,1969,9480,0
242500.0,1200,0,0,0,9720,0
419000.0,1570,0,0,0,6700,0
367500.0,3110,0,0,0,7231,0
257950.0,1370,0,0,2000,5858,0
275000.0,1180,0,0,2009,10277,0
750000.0,1550,690,0,0,10578,0
435000.0,1450,0,0,1979,8800,0
626000.0,1470,280,0,0,1572,0
612500.0,2730,0,0,0,12261,0
495000.0,1130,470,0,1989,6380,0
285000.0,1360,730,0,0,10834,0
615000.0,1360,1000,0,0,7291,0
698000.0,1300,900,0,0,11250,0
675000.0,2820,0,0,2014,67518,0
790000.0,1700,900,0,1999,4750,0
382500.0,1560,0,0,0,8700,0
499950.0,2190,670,0,2003,3345,0
650000.0,1640,180,1,2010,5000,0
625000.0,2820,0,0,0,8408,0
400000.0,2300,1330,0,2014,42884,0
604000.0,3240,0,2,0,33151,0
440000.0,800,0,0,0,4850,0
287200.0,1090,760,0,0,19966,0
403000.0,1650,310,2,0,13100,0
750000.0,1440,950,2,2009,6550,0
335000.0,1580,0,0,2000,16215,0
260000.0,1480,0,0,0,8625,0
308500.0,850,0,0,1983,6174,0
439950.0,1770,0,0,2009,2875,0
235000.0,1210,0,0,0,9400,0
315000.0,1160,0,0,1997,9180,0
437500.0,1970,0,0,0,35100,0
407500.0,1930,0,0,0,10460,0
445700.0,1270,0,0,0,1180,0
838000.0,3310,0,0,0,42998,0
630000.0,2710,0,0,0,37277,0
550000.0,2910,0,0,2014,35200,0
805000.0,1880,830,0,0,4500,0
284000.0,1800,0,0,1997,23103,0
470000.0,1460,750,0,0,9655,0
430000.0,1070,850,0,1979,10000,0
491500.0,2190,0,2,1997,125452,0
785000.0,3660,0,2,0,11995,0
385000.0,1040,280,0,0,1327,0
295000.0,1280,350,0,0,1368,0
555000.0,3310,0,0,1912,6500,0
459990.0,2680,0,0,1923,5539,0
625000.0,1560,1170,0,0,54014,0
300000.0,2540,0,0,0,5050,0
625000.0,2920,0,0,1912,6605,0
553000.0,900,0,0,0,5000,0
379880.0,1130,520,0,0,14054,0
310000.0,1010,0,0,0,9945,0
775000.0,2680,0,0,2003,7392,0
365000.0,1570,630,0,0,7350,0
331950.0,2010,520,2,2009,9933,0
783500.0,1990,860,0,0,7130,0
628000.0,1140,1140,0,2005,6010,0
560000.0,1900,0,0,2000,8744,0
900000.0,1330,0,0,1954,77972,0
531000.0,1110,160,0,0,1175,0
831000.0,1610,560,0,2011,4000,0
780000.0,2730,0,2,0,10281,0
755000.0,1620,500,0,2001,10202,0
705380.0,2490,0,0,0,4343,0
627000.0,1210,780,0,2013,7712,0
865000.0,3690,0,0,2006,9892,0
580000.0,1320,1220,0,0,7000,0
410000.0,1360,440,0,2000,36704,0
485000.0,1340,1000,0,0,7048,0
400000.0,2110,0,0,0,9519,0
549000.0,1140,0,0,0,5400,0
620000.0,1480,0,0,0,2185,0
405000.0,1140,270,0,0,1240,0
232000.0,1200,0,0,1972,8063,0
800866.0,3180,0,0,0,13806,0
650000.0,1400,760,2,1985,9000,0
823000.0,2780,140,0,0,5000,0
770000.0,1810,540,0,1989,5700,0
524000.0,780,780,0,0,5520,0
541125.0,1370,1370,0,2001,8426,0
670000.0,1680,0,0,1998,2000,0
384900.0,1750,1340,0,1997,12750,0
406100.0,1410,0,0,0,1332,0
1395000.0,2850,1160,1,0,8510,0
736500.0,3180,0,3,0,21904,0
570000.0,1330,680,0,0,6000,0
787000.0,1330,0,0,2004,7500,0
328000.0,2370,0,0,2006,6500,0
435000.0,1540,300,0,1958,9240,0
499000.0,2910,0,0,0,6479,0
501000.0,1160,910,0,2008,7519,0
1090000.0,4340,0,0,0,141570,0
400000.0,840,0,0,2005,5510,0
220000.0,1240,0,0,0,9600,0
657100.0,1050,340,0,2011,4240,0
309950.0,2310,0,0,0,5000,0
300000.0,1050,0,0,0,10072,0
525888.0,1810,740,0,0,71874,0
740000.0,2010,0,0,0,3600,0
340000.0,1120,0,0,0,9022,0
398750.0,2230,0,0,2005,4000,0
206000.0,810,0,0,0,7158,0
1030000.0,1690,1500,3,0,16920,0
600000.0,1670,0,0,1992,39639,0
379950.0,1140,830,0,0,9389,0
287000.0,1450,0,0,1983,6000,0
2280000.0,9410,4130,4,0,307752,0
309950.0,1880,0,0,0,7838,0
600000.0,1040,840,0,0,6360,0
418000.0,1410,0,0,0,6030,0
449250.0,1480,0,0,1970,3844,0
329950.0,1140,0,0,1985,5250,0
245000.0,1000,920,0,0,9306,0
549000.0,2910,0,0,0,6338,0
